date,spend,installs,regs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
01.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
02.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
03.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
04.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
05.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
06.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
07.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
08.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
09.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
10.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
11.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
12.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
13.07.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
14.07.2026,0.0,5,0,4,2,4,0,0,0,0,0,0
15.07.2026,0.0,22,0,2,1,4,0,1,1,1,0,0
16.07.2026,0.0,479,0,32,9,72,8,10,16,10,0,0
17.07.2026,0.0,154,0,5,1,23,0,1,1,1,0,0
18.07.2026,0.0,310,0,9,4,32,2,4,8,4,0,0
19.07.2026,0.0,286,0,19,8,42,7,9,16,8,0,0
20.07.2026,0.0,313,0,21,8,59,4,9,14,9,0,0
21.07.2026,0.0,283,0,20,4,52,3,4,6,4,0,0
22.07.2026,0.0,138,0,8,4,32,0,3,4,3,0,0
23.07.2026,0.0,209,0,16,3,51,3,4,5,3,0,0
24.07.2026,0.0,249,0,22,2,54,1,2,6,2,0,0
25.07.2026,0.0,210,0,12,5,33,3,5,11,5,0,0
26.07.2026,0.0,243,0,20,6,47,2,6,9,5,0,0
27.07.2026,0.0,329,0,23,5,58,1,5,8,5,0,0
28.07.2026,0.0,475,0,46,14,88,7,13,25,13,0,0
29.07.2026,0.0,137,0,11,4,23,3,3,7,3,0,0
30.07.2026,0.0,111,0,8,4,26,0,5,10,5,0,0
31.07.2026,0.0,144,0,17,7,30,3,6,17,6,0,0
01.08.2026,0.0,139,0,14,4,24,3,4,7,4,0,0
02.08.2026,0.0,135,0,6,0,30,0,0,0,0,0,0
03.08.2026,0.0,142,0,18,4,36,2,4,8,4,0,0
04.08.2026,0.0,192,0,32,7,37,4,5,21,5,0,0
05.08.2026,0.0,230,0,28,8,51,6,8,17,8,0,0
06.08.2026,0.0,280,0,37,12,75,8,13,26,11,0,0
07.08.2026,0.0,332,0,36,13,79,9,13,26,11,0,0
08.08.2026,0.0,307,0,27,16,74,15,16,26,15,0,0
09.08.2026,0.0,263,0,25,9,60,7,9,14,9,0,0
10.08.2026,0.0,201,0,21,7,40,7,7,10,7,0,0
11.08.2026,0.0,285,0,28,7,59,2,5,14,5,0,0
12.08.2026,0.0,197,0,25,6,52,5,6,13,6,0,0
13.08.2026,0.0,234,0,42,10,49,7,10,25,10,0,0
14.08.2026,0.0,136,0,13,6,32,3,6,9,6,0,0
15.08.2026,0.0,71,0,2,1,17,1,1,3,1,0,0
16.08.2026,0.0,66,0,2,0,9,0,0,2,0,0,0
17.08.2026,0.0,120,0,6,2,27,1,2,5,2,0,0
18.08.2026,0.0,76,0,2,0,12,0,0,1,0,0,0
19.08.2026,0.0,103,0,4,1,22,0,1,2,1,0,0
20.08.2026,0.0,67,0,8,3,19,1,3,7,3,0,0
21.08.2026,0.0,67,0,1,1,12,1,1,1,1,0,0
22.08.2026,0.0,69,0,6,2,17,0,2,4,2,0,0
23.08.2026,0.0,65,0,5,0,16,0,0,1,0,0,0
24.08.2026,0.0,65,0,6,1,15,0,1,2,1,0,0
25.08.2026,0.0,71,0,6,2,13,1,2,3,2,0,0
26.08.2026,0.0,100,0,3,0,9,0,0,0,0,0,0
27.08.2026,0.0,70,0,1,0,12,0,0,1,0,0,0
28.08.2026,0.0,56,0,6,0,18,0,0,0,0,0,0
29.08.2026,0.0,76,0,2,0,9,0,0,0,0,0,0
30.08.2026,0.0,71,0,3,1,15,1,1,2,1,0,0
31.08.2026,0.0,60,0,3,0,8,0,0,1,0,0,0
01.09.2026,0.0,66,0,6,1,13,1,1,2,1,0,0
02.09.2026,0.0,84,0,1,0,15,0,0,0,0,0,0
03.09.2026,0.0,89,0,5,1,10,1,1,1,1,0,0
04.09.2026,0.0,93,0,8,0,17,0,0,0,0,0,0
05.09.2026,0.0,85,0,6,2,12,0,2,3,2,0,0
06.09.2026,0.0,61,0,2,1,9,0,1,2,1,0,0
07.09.2026,0.0,72,0,5,1,14,0,1,1,1,0,0
08.09.2026,0.0,59,0,5,1,13,1,1,1,1,0,0
09.09.2026,0.0,3,0,2,0,2,0,0,0,0,0,0
