date,spend,installs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
21.08.2026,0,27,19,4,3,4,0,0,1,0,0
22.08.2026,0,147,100,2,1,2,0,0,0,0,0
23.08.2026,0,171,134,6,4,6,0,0,0,0,0
24.08.2026,0,285,247,0,0,0,0,0,12,0,0
25.08.2026,0,194,173,6,5,6,0,0,10,0,0
26.08.2026,0,311,301,7,9,10,0,0,13,0,0
27.08.2026,0,292,285,9,17,18,0,0,16,0,0
28.08.2026,0,159,158,8,8,8,0,0,3,0,0
29.08.2026,0,4,2,0,0,0,0,0,0,0,0
30.08.2026,0,5,2,0,0,0,0,0,0,0,0
31.08.2026,0,4,0,0,0,0,0,0,0,0,0
01.09.2026,0,25,8,0,0,0,0,0,0,0,0
02.09.2026,0,14,5,5,0,5,0,0,0,0,0
