date,spend,polza_spend,installs,trials,sold,fb,paid_net,clicks,impressions
05.06.2026,318.09,0.0,2,0,0,0,0,244,2203
06.06.2026,656.52,0.0,64,0,0,0,0,339,9417
07.06.2026,683.19,0.0,63,1,0,0,0,400,9441
08.06.2026,1383.26,0.0,118,1,0,0,0,538,11891
09.06.2026,1541.37,0.0,137,2,0,0,0,431,15926
10.06.2026,1856.83,0.0,127,1,0,0,0,461,16307
11.06.2026,1584.42,0.0,113,0,0,0,0,373,12650
12.06.2026,2233.46,0.0,166,0,0,0,0,538,14673
13.06.2026,1706.47,0.0,169,0,0,0,0,756,11908
14.06.2026,1594.96,0.0,169,1,0,0,0,1042,16223
15.06.2026,1916.05,0.0,189,1,0,0,0,890,20690
16.06.2026,5180.07,0.0,299,5,0,0,0,2086,43073
17.06.2026,4752.01,0.0,331,1,0,0,0,1587,40804
18.06.2026,4015.58,0.0,299,2,0,0,0,1242,36591
19.06.2026,3909.76,0.0,279,4,0,0,0,1706,32738
20.06.2026,3801.56,0.0,262,5,0,0,0,1236,30846
21.06.2026,4584.28,0.0,252,4,0,0,0,1284,30932
22.06.2026,4255.04,0.0,223,2,0,0,0,788,26587
23.06.2026,5217.56,0.0,248,0,0,0,0,1063,27761
24.06.2026,2208.76,0.0,122,3,0,0,0,300,17000
25.06.2026,14472.34,0.0,281,3,0,1,399,2318,93881
26.06.2026,10221.53,0.0,242,4,0,0,0,2047,52822
27.06.2026,6822.32,0.0,241,3,0,0,0,1771,48760
28.06.2026,6952.57,0.0,243,3,0,0,0,1575,45538
29.06.2026,8339.52,0.0,211,1,0,0,0,2504,58604
30.06.2026,3403.42,0.0,157,2,0,0,0,1076,36315
01.07.2026,8840.11,0.0,450,6,0,0,0,2175,160152
02.07.2026,4344.0,0.0,279,3,0,1,399,992,65567
03.07.2026,4882.55,0.0,274,8,1,1,2490,1024,54329
04.07.2026,4772.49,0.0,272,5,2,2,4980,1010,45359
05.07.2026,4301.12,0.0,318,17,1,1,2490,1014,36786
06.07.2026,5662.7,0.0,297,1,0,0,0,904,64269
07.07.2026,4450.43,0.0,261,9,0,0,0,861,66281
08.07.2026,4656.62,0.0,243,5,1,1,2490,795,63763
09.07.2026,4213.74,0.0,211,7,0,1,399,569,65058
10.07.2026,4003.55,0.0,175,1,3,3,7470,481,58845
11.07.2026,3527.17,0.0,166,1,2,2,4980,442,59614
12.07.2026,3234.17,0.0,183,4,1,1,2490,423,49770
13.07.2026,4422.39,0.0,197,1,0,0,0,439,70920
14.07.2026,2885.17,0.0,169,0,3,3,7470,351,66088
15.07.2026,2765.57,0.0,145,2,1,1,2490,326,59894
16.07.2026,2692.55,0.0,154,2,0,0,0,296,56212
17.07.2026,3509.07,0.0,157,3,0,0,0,318,53256
18.07.2026,2640.24,0.0,146,1,1,1,2490,297,52851
19.07.2026,1875.74,0.0,133,1,0,0,0,264,33703
20.07.2026,1920.22,0.0,252,2,0,1,399,282,40675
21.07.2026,4365.41,0.0,329,4,0,0,0,644,58131
22.07.2026,3844.1,0.0,300,1,0,0,0,588,43183
23.07.2026,5621.21,0.0,318,10,0,0,0,738,59700
24.07.2026,3989.55,0.0,386,8,0,1,399,929,79236
25.07.2026,1930.97,0.0,216,13,0,1,399,374,37380
26.07.2026,997.87,0.0,78,8,0,1,399,124,10070
27.07.2026,3904.96,0.0,148,4,0,0,0,287,36874
28.07.2026,3634.35,0.0,163,4,0,2,798,337,34133
29.07.2026,3507.78,0.0,178,5,1,1,2490,332,29284
30.07.2026,2777.16,0.0,131,2,1,1,2490,292,25675
31.07.2026,3126.86,0.0,145,4,1,1,2490,305,20634
01.08.2026,2493.08,0.0,143,1,4,4,9960,300,20943
02.08.2026,2852.29,0.0,159,3,1,1,2490,277,25021
03.08.2026,4470.1,0.0,196,6,1,1,2490,356,40923
04.08.2026,4661.01,0.0,152,2,1,1,2490,306,38586
05.08.2026,3627.41,0.0,154,6,0,1,399,275,36267
06.08.2026,4014.81,0.0,152,5,0,0,0,263,31087
07.08.2026,3174.72,0.0,129,8,0,0,0,208,25905
08.08.2026,2955.15,0.0,113,8,0,0,0,187,18650
09.08.2026,3125.96,0.0,106,5,0,0,0,172,16491
10.08.2026,3659.99,0.0,106,5,1,1,3490,193,24149
11.08.2026,2686.49,0.0,98,6,1,2,3889,166,22998
12.08.2026,3320.07,0.0,89,3,1,1,3490,164,17590
13.08.2026,3209.87,0.0,91,5,1,2,3889,169,20395
14.08.2026,2829.51,0.0,82,5,2,2,6980,155,20470
15.08.2026,3750.84,0.0,103,7,3,3,10470,194,26643
16.08.2026,3964.79,0.0,116,3,2,2,6980,230,30791
17.08.2026,5288.46,0.0,110,5,2,2,6980,204,26438
