date,spend,installs,regs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
25.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
26.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
27.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
28.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
29.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
30.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
31.08.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
01.09.2026,0.0,21,0,0,2,0,0,0,0,0,0,14
02.09.2026,0.0,36,1,0,0,1,0,0,0,0,25,715
03.09.2026,528.55,284,5,0,1,4,0,9,3,0,289,3857
04.09.2026,801.09,456,2,0,0,1,0,7,0,0,495,8156
05.09.2026,341.45,211,4,0,0,3,0,8,4,0,223,2872
06.09.2026,993.1,384,2,0,0,1,0,4,1,0,412,3917
07.09.2026,5503.06,1107,10,0,0,7,0,18,1,0,1182,30918
08.09.2026,8205.95,1698,9,0,0,19,0,29,14,0,1746,49280
09.09.2026,6808.66,1218,2,0,0,5,0,4,27,0,1267,39975
10.09.2026,12045.1,750,5,0,0,145,0,7,121,0,756,59643
11.09.2026,13265.32,730,2,0,1,135,0,5,152,0,788,69105
12.09.2026,19008.25,862,11,0,0,120,0,22,77,0,900,74270
13.09.2026,13198.69,527,8,0,0,63,0,10,44,0,529,43530
14.09.2026,20015.12,1130,3,0,0,221,0,3,174,1,1169,91985
15.09.2026,16769.06,1174,6,0,0,196,0,7,132,0,1203,46365
16.09.2026,9672.36,790,4,0,0,136,0,4,141,1,857,27006
17.09.2026,90.0,40,0,0,0,3,0,0,11,0,13,596
