pay_date,amount_rub,plan,card_last4,status,note
2026-06-15,2490,yearly,8176,paid,
2026-06-16,2490,yearly,4834,paid,
2026-06-16,2490,yearly,0377,refunded,Саша
2026-06-17,2490,yearly,6165,paid,
2026-06-20,399,monthly,6752,paid,
2026-06-21,2490,yearly,4395,paid,
2026-06-22,399,monthly,2552,paid,
2026-06-23,2490,yearly,5654,paid,
2026-06-26,2490,yearly,7681,paid,
2026-06-26,2490,yearly,7963,paid,
2026-06-27,2490,yearly,1853,paid,
2026-06-28,399,monthly,8893,paid,
2026-06-28,399,monthly,2020,paid,
2026-06-28,2490,yearly,9155,paid,
2026-06-28,2490,yearly,9192,paid,
2026-07-02,399,monthly,6699,paid,
