date,spend,installs,regs,trials,sold,fb,purchase,contact_info,form_submit,contact_sent,clicks,impressions
04.09.2026,85.63,26,0,8,2,3,0,0,4,3,13,151
05.09.2026,770.97,151,0,36,8,11,0,0,50,11,158,5815
06.09.2026,710.97,130,0,28,2,9,0,0,33,9,137,4764
07.09.2026,1912.34,389,0,56,6,14,0,0,68,22,434,6491
08.09.2026,1612.98,309,0,68,0,24,0,0,81,32,307,4301
09.09.2026,1073.93,187,0,45,0,13,0,0,61,19,184,3363
10.09.2026,1372.16,215,0,48,0,23,0,0,56,28,203,3680
11.09.2026,2777.03,57,0,11,0,4,0,0,12,4,904,40944
12.09.2026,4651.98,0,0,0,0,0,0,0,0,0,1771,63049
13.09.2026,1462.31,0,0,0,0,0,0,0,0,0,467,15322
14.09.2026,4712.12,0,0,0,0,0,0,0,0,0,1110,37380
15.09.2026,4325.81,685,0,57,0,14,0,0,84,17,1023,42462
16.09.2026,5037.22,640,0,63,7,21,0,3,103,23,971,59907
17.09.2026,1771.25,211,0,21,7,11,0,0,47,11,292,19245
18.09.2026,0.0,16,0,0,0,0,0,0,0,0,0,0
19.09.2026,0.0,17,0,1,1,1,0,0,1,1,0,0
20.09.2026,0.0,11,0,0,0,0,0,0,0,0,0,0
21.09.2026,0.0,4,0,0,0,0,0,0,0,0,0,0
22.09.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
23.09.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
24.09.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
25.09.2026,0.0,0,0,0,0,0,0,0,0,0,0,0
